Student_ID,Class,Study_Hours_Per_Day,Attendance_Percentage,Internet_Access,Extracurricular_Activities,Math_Score,Science_Score,English_Score,Previous_Year_Score,Study_Discipline_Score,Attendance_Score,Academic_Score,Performance_Index,Risk_Level,Difference,Trend
S0001,12,1.0,65,No,No,40,39,72,81,25.0,65,50.33,43.13,High Risk,-37.87,Declining
S0002,9,1.6,58,No,Yes,80,44,35,47,40.0,58,53.0,48.8,Medium Risk,1.8,Stable
S0003,12,3.6,64,Yes,Yes,83,73,59,58,90.0,64,71.67,77.47,Low Risk,19.47,Improving
S0004,9,5.5,68,Yes,No,68,48,77,54,100.0,68,64.33,79.33,Low Risk,25.33,Improving
S0005,10,5.0,80,Yes,No,41,46,36,68,100.0,80,41.0,72.4,Low Risk,4.4,Stable
S0006,12,5.2,82,No,Yes,88,70,46,60,100.0,82,68.0,83.6,Low Risk,23.6,Improving
S0007,12,0.8,78,No,No,75,69,64,84,20.0,78,69.33,51.33,Medium Risk,-32.67,Declining
S0008,11,2.0,81,No,Yes,93,37,48,55,50.0,81,59.33,59.93,Medium Risk,4.93,Stable
S0009,11,3.5,61,No,No,55,39,83,71,87.5,61,59.0,70.8,Low Risk,-0.2,Stable
S0010,10,5.7,97,Yes,No,72,73,73,61,100.0,97,72.67,88.47,Low Risk,27.47,Improving
S0011,9,3.6,88,Yes,No,95,85,69,41,90.0,88,83.0,86.8,Low Risk,45.8,Improving
S0012,9,5.7,74,Yes,No,54,38,59,81,100.0,74,50.33,74.93,Low Risk,-6.07,Declining
S0013,10,1.5,64,Yes,Yes,35,95,37,85,37.5,64,55.67,50.07,Medium Risk,-34.93,Declining
S0014,10,5.5,76,No,Yes,79,82,100,71,100.0,76,87.0,90.0,Low Risk,19.0,Improving
S0015,10,4.2,60,No,Yes,55,57,80,72,100.0,60,64.0,77.6,Low Risk,5.6,Improving
S0016,12,5.0,67,No,No,68,40,81,72,100.0,67,63.0,78.6,Low Risk,6.6,Improving
S0017,10,4.0,66,No,Yes,49,59,96,63,100.0,66,68.0,80.4,Low Risk,17.4,Improving
S0018,9,5.0,89,No,Yes,71,40,59,82,100.0,89,56.67,80.47,Low Risk,-1.53,Stable
S0019,12,1.9,100,No,No,45,85,74,61,47.5,100,68.0,66.2,Low Risk,5.2,Improving
S0020,11,3.6,66,Yes,Yes,75,78,59,78,90.0,66,70.67,77.47,Low Risk,-0.53,Stable
S0021,10,4.7,65,No,Yes,46,80,70,46,100.0,65,65.33,79.13,Low Risk,33.13,Improving
S0022,12,2.8,83,No,Yes,100,96,99,86,70.0,83,98.33,83.93,Low Risk,-2.07,Stable
S0023,12,5.3,72,No,No,72,40,63,76,100.0,72,58.33,77.73,Low Risk,1.73,Stable
S0024,10,4.6,54,Yes,No,58,37,79,94,100.0,54,58.0,74.0,Low Risk,-20.0,Declining
S0025,10,0.9,98,Yes,No,61,53,38,48,22.5,98,50.67,48.87,Medium Risk,0.87,Stable
S0026,9,5.1,78,No,No,68,80,69,43,100.0,78,72.33,84.53,Low Risk,41.53,Improving
S0027,12,2.0,75,No,No,56,79,52,94,50.0,75,62.33,59.93,Medium Risk,-34.07,Declining
S0028,12,0.9,91,No,Yes,57,51,35,52,22.5,91,47.67,46.27,Medium Risk,-5.73,Declining
S0029,12,4.3,87,No,No,61,91,49,49,100.0,87,67.0,84.2,Low Risk,35.2,Improving
S0030,11,3.5,69,Yes,Yes,81,68,42,57,87.5,69,63.67,74.27,Low Risk,17.27,Improving
S0031,9,1.8,85,Yes,Yes,64,58,93,93,45.0,85,71.67,63.67,Medium Risk,-29.33,Declining
S0032,12,1.1,78,No,No,47,81,87,52,27.500000000000004,78,71.67,55.27,Medium Risk,3.27,Stable
S0033,10,1.4,58,No,Yes,54,49,75,66,35.0,58,59.33,49.33,Medium Risk,-16.67,Declining
S0034,11,3.0,94,No,No,56,51,45,61,75.0,94,50.67,69.07,Low Risk,8.07,Improving
S0035,12,2.3,79,No,Yes,97,95,53,93,57.49999999999999,79,81.67,71.47,Low Risk,-21.53,Declining
S0036,10,3.4,87,No,No,95,86,35,68,85.0,87,72.0,80.2,Low Risk,12.2,Improving
S0037,10,3.9,54,No,Yes,82,100,71,50,97.5,54,84.33,83.53,Low Risk,33.53,Improving
S0038,11,1.2,63,Yes,Yes,65,56,73,89,30.0,63,64.67,50.47,Medium Risk,-38.53,Declining
S0039,11,1.7,97,Yes,Yes,75,64,94,94,42.5,97,77.67,67.47,Low Risk,-26.53,Declining
S0040,12,2.0,100,Yes,Yes,68,38,88,59,50.0,100,64.67,65.87,Low Risk,6.87,Improving
S0041,10,5.2,95,Yes,No,56,84,57,57,100.0,95,65.67,85.27,Low Risk,28.27,Improving
S0042,11,4.1,64,No,Yes,62,82,95,78,100.0,64,79.67,84.67,Low Risk,6.67,Improving
S0043,12,4.5,56,Yes,Yes,60,70,52,86,100.0,56,60.67,75.47,Low Risk,-10.53,Declining
S0044,9,4.8,68,Yes,Yes,37,76,98,44,100.0,68,70.33,81.73,Low Risk,37.73,Improving
S0045,10,3.4,91,No,No,36,100,76,62,85.0,91,70.67,80.47,Low Risk,18.47,Improving
S0046,9,1.9,55,No,No,87,37,55,46,47.5,55,59.67,53.87,Medium Risk,7.87,Improving
S0047,10,2.6,96,Yes,No,68,63,78,43,65.0,96,69.67,73.07,Low Risk,30.07,Improving
S0048,12,0.8,80,Yes,Yes,46,49,92,83,20.0,80,62.33,48.93,Medium Risk,-34.07,Declining
S0049,12,1.0,63,No,No,41,86,46,58,25.0,63,57.67,45.67,Medium Risk,-12.33,Declining
S0050,11,2.8,95,No,No,44,83,83,93,70.0,95,70.0,75.0,Low Risk,-18.0,Declining
S0051,11,1.3,69,No,No,99,77,84,88,32.5,69,86.67,61.47,Medium Risk,-26.53,Declining
S0052,11,5.3,63,Yes,Yes,82,63,72,55,100.0,63,72.33,81.53,Low Risk,26.53,Improving
S0053,11,4.7,76,Yes,No,82,87,42,89,100.0,76,70.33,83.33,Low Risk,-5.67,Declining
S0054,11,1.5,92,Yes,No,57,75,86,81,37.5,92,72.67,62.47,Medium Risk,-18.53,Declining
S0055,11,5.3,80,No,No,74,37,46,40,100.0,80,52.33,76.93,Low Risk,36.93,Improving
S0056,12,4.2,75,Yes,No,86,71,79,58,100.0,75,78.67,86.47,Low Risk,28.47,Improving
S0057,12,3.9,97,Yes,No,81,72,85,40,97.5,97,79.33,90.13,Low Risk,50.13,Improving
S0058,9,3.0,64,No,Yes,66,57,69,86,75.0,64,64.0,68.4,Low Risk,-17.6,Declining
S0059,12,3.6,90,No,Yes,67,82,100,86,90.0,90,83.0,87.2,Low Risk,1.2,Stable
S0060,10,3.5,51,Yes,Yes,68,74,81,68,87.5,51,74.33,74.93,Low Risk,6.93,Improving
S0061,9,4.0,82,No,Yes,65,83,53,95,100.0,82,67.0,83.2,Low Risk,-11.8,Declining
S0062,10,1.8,99,No,No,78,35,91,65,45.0,99,68.0,65.0,Low Risk,0.0,Stable
S0063,11,1.9,66,No,No,95,82,89,52,47.5,66,88.67,67.67,Low Risk,15.67,Improving
S0064,12,1.9,56,Yes,No,75,40,40,86,47.5,56,51.67,50.87,Medium Risk,-35.13,Declining
S0065,12,3.6,84,Yes,No,85,71,53,95,90.0,84,69.67,80.67,Low Risk,-14.33,Declining
S0066,10,2.7,55,Yes,No,67,60,84,65,67.5,55,70.33,66.13,Low Risk,1.13,Stable
S0067,10,4.4,71,Yes,No,64,47,66,54,100.0,71,59.0,77.8,Low Risk,23.8,Improving
S0068,10,5.4,96,No,Yes,43,86,65,81,100.0,96,64.67,85.07,Low Risk,4.07,Stable
S0069,10,3.4,77,No,No,35,77,97,83,85.0,77,69.67,77.27,Low Risk,-5.73,Declining
S0070,9,5.8,91,Yes,Yes,93,93,41,76,100.0,91,75.67,88.47,Low Risk,12.47,Improving
S0071,10,1.5,50,No,No,90,81,48,80,37.5,50,73.0,54.2,Medium Risk,-25.8,Declining
S0072,12,3.6,58,No,Yes,71,96,67,49,90.0,58,78.0,78.8,Low Risk,29.8,Improving
S0073,11,1.8,76,No,Yes,60,49,83,79,45.0,76,64.0,58.8,Medium Risk,-20.2,Declining
S0074,11,2.9,57,No,No,85,71,67,78,72.5,57,74.33,70.13,Low Risk,-7.87,Declining
S0075,9,5.7,84,Yes,Yes,56,85,75,65,100.0,84,72.0,85.6,Low Risk,20.6,Improving
S0076,12,2.2,67,No,Yes,78,49,88,46,55.00000000000001,67,71.67,64.07,Medium Risk,18.07,Improving
S0077,12,1.3,50,No,No,47,62,65,94,32.5,50,58.0,46.2,Medium Risk,-47.8,Declining
S0078,10,2.1,57,No,No,48,77,89,45,52.5,57,71.33,60.93,Medium Risk,15.93,Improving
S0079,11,1.9,91,No,No,52,99,44,44,47.5,91,65.0,63.2,Medium Risk,19.2,Improving
S0080,11,1.3,87,No,Yes,38,97,75,86,32.5,87,70.0,58.4,Medium Risk,-27.6,Declining
S0081,10,4.5,68,Yes,No,81,76,62,90,100.0,68,73.0,82.8,Low Risk,-7.2,Declining
S0082,9,2.4,82,Yes,Yes,73,59,93,81,60.0,82,75.0,70.4,Low Risk,-10.6,Declining
S0083,12,2.3,98,No,Yes,45,38,38,41,57.49999999999999,98,40.33,58.73,Medium Risk,17.73,Improving
S0084,11,3.4,60,Yes,Yes,36,100,90,45,85.0,60,75.33,76.13,Low Risk,31.13,Improving
S0085,9,5.7,92,No,No,56,39,46,48,100.0,92,47.0,77.2,Low Risk,29.2,Improving
S0086,10,5.6,68,No,No,100,66,94,46,100.0,68,86.67,88.27,Low Risk,42.27,Improving
S0087,12,3.1,60,Yes,No,71,74,42,61,77.5,60,62.33,67.93,Low Risk,6.93,Improving
S0088,11,2.6,60,Yes,Yes,40,41,84,92,65.0,60,55.0,60.0,Medium Risk,-32.0,Declining
S0089,10,3.5,93,Yes,No,48,79,64,73,87.5,93,63.67,79.07,Low Risk,6.07,Improving
S0090,11,0.8,55,Yes,No,57,35,75,56,20.0,55,55.67,41.27,High Risk,-14.73,Declining
S0091,12,4.2,83,Yes,No,63,41,53,43,100.0,83,52.33,77.53,Low Risk,34.53,Improving
S0092,11,2.9,54,Yes,No,42,61,48,59,72.5,54,50.33,59.93,Medium Risk,0.93,Stable
S0093,11,4.3,50,Yes,No,61,51,70,71,100.0,50,60.67,74.27,Low Risk,3.27,Stable
S0094,9,4.1,50,Yes,Yes,99,70,39,83,100.0,50,69.33,77.73,Low Risk,-5.27,Declining
S0095,10,3.9,76,No,Yes,95,79,83,51,97.5,76,85.67,88.47,Low Risk,37.47,Improving
S0096,12,2.3,73,No,No,50,47,61,44,57.49999999999999,73,52.67,58.67,Medium Risk,14.67,Improving
S0097,11,0.5,75,No,No,50,98,68,88,12.5,75,72.0,48.8,Medium Risk,-39.2,Declining
