Student_ID,Class,Study_Hours_Per_Day,Attendance_Percentage,Performance_Index,Risk_Level,Trend,Key_Insight,Recommendation
S0001,12,1.0,65,43.13,High Risk,Declining,Poor study discipline is the primary cause of high academic risk reinforced by declining performance trend.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0002,9,1.6,58,48.8,Medium Risk,Stable,Poor study discipline is the primary cause of academic risk and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Reduce extracurricular load temporarily."
S0003,12,3.6,64,77.47,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Improve class attendance to >75%.
S0004,9,5.5,68,79.33,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S0005,10,5.0,80,72.4,Low Risk,Stable,Strong overall performance with no immediate academic risk.,"1. Focus on core subject remediation.
2. Limit non-academic internet usage."
S0006,12,5.2,82,83.6,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S0007,12,0.8,78,51.33,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0008,11,2.0,81,59.93,Medium Risk,Stable,Poor study discipline is the primary cause of academic risk and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Reduce extracurricular load temporarily."
S0009,11,3.5,61,70.8,Low Risk,Stable,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S0010,10,5.7,97,88.47,Low Risk,Improving,Strong overall performance with no immediate academic risk.,Maintain Current Habits
S0011,9,3.6,88,86.8,Low Risk,Improving,Strong overall performance with no immediate academic risk.,Maintain Current Habits
S0012,9,5.7,74,74.93,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Focus on core subject remediation.
2. Limit non-academic internet usage."
S0013,10,1.5,64,50.07,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0014,10,5.5,76,90.0,Low Risk,Improving,Strong overall performance with no immediate academic risk.,Maintain Current Habits
S0015,10,4.2,60,77.6,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S0016,12,5.0,67,78.6,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S0017,10,4.0,66,80.4,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S0018,9,5.0,89,80.47,Low Risk,Stable,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S0019,12,1.9,100,66.2,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Increase daily study to minimum 4 hours.
